isbn,title,author,genre_gt,model,cover_colors,cover_style,mood,visual_elements,target_audience,marketing_text,raw,полнота,детальность,маркетинг,специфичность,итого
9780439708180,Harry Potter Sorcerers Stone,J.K. Rowling,Fantasy,BLIP-2,"red, blue, green, yellow, and purple",,the mood of the book is one of excitement and adventure,The cover of harry potter and the sorcerer's stone,children,"Harry Potter Sorcerers Stone by J.K. Rowling — a captivating fantasy book. The cover features the cover of harry potter and the sorcerer's stone, conveying the mood of the book is one of excitement and adventure. Perfect for children.",,0.6,0.3725,1.0,0.125,0.524375
9780812981605,The Name of the Wind,Patrick Rothfuss,Fantasy,BLIP-2,"yellow, blue, red, and black",Power of Habit,The power of habit why we do what we do in life and business,The power of habit why we do what we do in life and business,Anyone who wants to learn how to create a habit,"The Name of the Wind by Patrick Rothfuss — a captivating fantasy book. The cover features the power of habit why we do what we do in life and business, conveying the power of habit why we do what we do in life and business. Perfect for anyone who wants to learn how to create a habit.",,1.0,0.5225,1.0,0.625,0.786875
9780553588484,A Game of Thrones,George R.R. Martin,Fantasy,BLIP-2,,A game of thrones,A game of thrones,The cover of a game of thrones,A game of thrones,"A Game of Thrones by George R.R. Martin — a captivating fantasy book. The cover features the cover of a game of thrones, conveying a game of thrones. Perfect for a game of thrones.",,0.8,0.2025,1.0,0.375,0.594375
9780385490818,The Handmaid Tale,Margaret Atwood,Dystopia,BLIP-2,The handmaid's tale,The handmaid's tale,The Handmaid's Tale,The handmaid's tale,person,"The Handmaid Tale by Margaret Atwood — a captivating dystopia book. The cover features the handmaid's tale, conveying the handmaid's tale. Perfect for person.",,0.8,0.205,1.0,0.625,0.6575
9780062409850,The Martian,Andy Weir,Sci-Fi,BLIP-2,,The cover of harper lee's go set a watchman is a photograph of a train on a track,"A moody, dark, and mysterious atmosphere",The cover of harper lee's go set a watchman,Anyone who has ever been in love,"The Martian by Andy Weir — a captivating sci-fi book. The cover features the cover of harper lee's go set a watchman, conveying a moody, dark, and mysterious atmosphere. Perfect for anyone who has ever been in love.",,0.8,0.49,1.0,0.25,0.635
9780385472579,Dune,Frank Herbert,Sci-Fi,BLIP-2,"red, orange, yellow, green, blue, and white","The cover is a combination of the two styles of the book, the traditional style of the book and the modern style of the book. The cover is a combination of the two styles of the book, the traditional style of the book and the modern style of the book.",The book cover is a depiction of a person sitting in a chair with a book in his hand. The book is titled zen speaks of nothingness. The person is sitting in a chair with a book in his hand. The book is titled zen speaks of nothingness. The person is sitting in a chair with a book in his hand. The book is titled zen speaks of nothingness,"The cover of the book is a poster of a person with a sword in his hand, with the title zen speaks of nothingness","person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person,","Dune by Frank Herbert — a captivating sci-fi book. The cover features the cover of the book is a poster of a person with a sword in his hand, with the title zen speaks of nothingness, conveying the book cover is a depiction of a person sitting in a chair with a book in his hand. the book is titled zen speaks of nothingness. the person is sitting in a chair with a book in his hand. the book is titled zen speaks of nothingness. the person is sitting in a chair with a book in his hand. the book is titled zen speaks of nothingness. Perfect for person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person,.",,1.0,1.0,1.0,0.0,0.75
9780441013593,Neuromancer,William Gibson,Sci-Fi,BLIP-2,,"""Dune""",The mood of the book is one of mystery and suspense,The cover of dune by frank herbert,,"Neuromancer by William Gibson — a captivating sci-fi book. The cover features the cover of dune by frank herbert, conveying the mood of the book is one of mystery and suspense. Perfect for .",,0.4,0.2275,1.0,0.125,0.438125
9780062073488,The Hunger Games,Suzanne Collins,Dystopia,BLIP-2,,a book cover with a dark background and a white background,the mood of a man who has just been told that his wife has been murdered,the cover of and then there were none,the target audience for this book is the general public,"The Hunger Games by Suzanne Collins — a captivating dystopia book. The cover features the cover of and then there were none, conveying the mood of a man who has just been told that his wife has been murdered. Perfect for the target audience for this book is the general public.",,0.8,0.555,1.0,0.0,0.58875
9780062409867,Project Hail Mary,Andy Weir,Sci-Fi,BLIP-2,,The cover of this book is a photograph of a train on a track with a tree in the background,"A moody, dark, and mysterious atmosphere",The cover of the book go set a watchman by harper lee,The target audience for this book is anyone who likes a good mystery.,"Project Hail Mary by Andy Weir — a captivating sci-fi book. The cover features the cover of the book go set a watchman by harper lee, conveying a moody, dark, and mysterious atmosphere. Perfect for the target audience for this book is anyone who likes a good mystery..",,0.8,0.63,1.0,0.0,0.6075
9780316346627,Gone Girl,Gillian Flynn,Thriller,BLIP-2,"red, blue, green, and yellow",The tipping point how little things can make a big difference,The tippling point how little things can make a big difference,The tippling point how little things can make a big difference,anyone who wants to learn how to make a big difference in their life,"Gone Girl by Gillian Flynn — a captivating thriller book. The cover features the tippling point how little things can make a big difference, conveying the tippling point how little things can make a big difference. Perfect for anyone who wants to learn how to make a big difference in their life.",,1.0,0.7025,1.0,0.625,0.831875
9780385337953,The Da Vinci Code,Dan Brown,Thriller,BLIP-2,"The main colors on this book cover are blue, green, and red.",The cover of this book is a dark blue background with a woman in a black dress standing in front of a blue sky.,The mood or atmosphere of the book is dark and mysterious,The cover of the book case of lies by person,The target audience for this book is the person who is interested in the case of lies,"The Da Vinci Code by Dan Brown — a captivating thriller book. The cover features the cover of the book case of lies by person, conveying the mood or atmosphere of the book is dark and mysterious. Perfect for the target audience for this book is the person who is interested in the case of lies.",,1.0,0.8925,1.0,0.0,0.723125
9781250301697,The Silent Patient,Alex Michaelides,Thriller,BLIP-2,[color: #00a4a4a],The cover of the book the silent patient by alex michaels,the book cover is a picture of a woman's face with a knife in her hand,The cover of the book the silent patient,The silent patient,"The Silent Patient by Alex Michaelides — a captivating thriller book. The cover features the cover of the book the silent patient, conveying the book cover is a picture of a woman's face with a knife in her hand. Perfect for the silent patient.",,1.0,0.505,1.0,0.0,0.62625
9780307277671,No Country for Old Men,Cormac McCarthy,Thriller,BLIP-2,,,the mood of a book,The Da Vinci Code,,"No Country for Old Men by Cormac McCarthy — a captivating thriller book. The cover features the da vinci code, conveying the mood of a book. Perfect for .",,0.4,0.0875,1.0,0.375,0.465625
9780062316097,The Alchemist,Paulo Coelho,Fiction,BLIP-2,sappens a brief history of humankind,sappens a brief history of human kindness,"The book cover is a brief history of humankind, with a focus on the sappen",The cover of sappens a brief history of humankind,The target audience for this book is anyone who is interested in the history of the Holocaust and the history of the Jewish people.,"The Alchemist by Paulo Coelho — a captivating fiction book. The cover features the cover of sappens a brief history of humankind, conveying the book cover is a brief history of humankind, with a focus on the sappen. Perfect for the target audience for this book is anyone who is interested in the history of the holocaust and the history of the jewish people..",,1.0,0.8275,1.0,0.0,0.706875
9781594631931,The Kite Runner,Khaled Hosseini,Fiction,BLIP-2,,The kite runner,the kite runner,The kite runner,anyone who has ever been in a war zone,"The Kite Runner by Khaled Hosseini — a captivating fiction book. The cover features the kite runner, conveying the kite runner. Perfect for anyone who has ever been in a war zone.",,0.8,0.2075,1.0,0.625,0.6581250000000001
9780735224292,Little Fires Everywhere,Celeste Ng,Fiction,BLIP-2,,"""Little Fires Everywhere""",a sense of nostalgia,The cover of little fires everywhere by celeste ng,children,"Little Fires Everywhere by Celeste Ng — a captivating fiction book. The cover features the cover of little fires everywhere by celeste ng, conveying a sense of nostalgia. Perfect for children.",,0.6,0.2575,1.0,0.375,0.558125
9780735211292,Where the Crawdads Sing,Delia Owens,Fiction,BLIP-2,"tiny changes, remarkable results, an easy way to build good habits and bad habits, and a way to build good habits and bad habits","Tiny changes, remarkable results, an easy way to build good habits and bad habits, and a way to build good habits and bad habits","The book cover is a cover for a book called Atomic Habits, by James Clear.",The cover of Atomic Habits is a book cover with a book title and a book cover with a book title.,Anyone who wants to change their,"Where the Crawdads Sing by Delia Owens — a captivating fiction book. The cover features the cover of atomic habits is a book cover with a book title and a book cover with a book title., conveying the book cover is a cover for a book called atomic habits, by james clear.. Perfect for anyone who wants to change their.",,1.0,1.0,1.0,0.0,0.75
9780525559474,Normal People,Sally Rooney,Fiction,BLIP-2,Midnight Library,Midnight Library,The Midnight Library,The Midnight Library,The target audience for this book is anyone who has ever been in a library at night.,"Normal People by Sally Rooney — a captivating fiction book. The cover features the midnight library, conveying the midnight library. Perfect for the target audience for this book is anyone who has ever been in a library at night..",,1.0,0.39,1.0,0.375,0.69125
9780385737951,The Fault in Our Stars,John Green,Young Adult,BLIP-2,,The maze runner,The maze runner,The maze runner,The maze runner,"The Fault in Our Stars by John Green — a captivating young adult book. The cover features the maze runner, conveying the maze runner. Perfect for the maze runner.",,0.8,0.15,1.0,0.625,0.64375
9780140268867,100 Years of Solitude,G. Garcia Marquez,Fiction,BLIP-2,,,the mood of the book,,,"100 Years of Solitude by G. Garcia Marquez — a captivating fiction book. The cover features , conveying the mood of the book. Perfect for .",,0.2,0.05,0.9266666666666666,0.375,0.3879166666666667
9780385490436,Beloved,Toni Morrison,Fiction,BLIP-2,,,"The book cover is a conversation between two people, one of whom is a man and the other is a woman. The man is sitting in a chair, and the woman is standing in front of him. The woman is wearing a white dress and a black hat. The man is wearing a black suit and a white shirt. The woman is wearing a white dress and a black hat. The woman is",The book cover is a photograph of a,,"Beloved by Toni Morrison — a captivating fiction book. The cover features the book cover is a photograph of a, conveying the book cover is a conversation between two people, one of whom is a man and the other is a woman. the man is sitting in a chair, and the woman is standing in front of him. the woman is wearing a white dress and a black hat. the man is wearing a black suit and a white shirt. the woman is wearing a white dress and a black hat. the woman is. Perfect for .",,0.4,0.94,1.0,0.0,0.585
9780525559498,Sapiens,Yuval Noah Harari,Non-Fiction,BLIP-2,"blue, green, and red",Midnight Library,The Midnight Library,The cover of the book midnight library by matt haig,The target audience for this book is anyone who has ever been in a library.,"Sapiens by Yuval Noah Harari — a captivating non-fiction book. The cover features the cover of the book midnight library by matt haig, conveying the midnight library. Perfect for the target audience for this book is anyone who has ever been in a library..",,1.0,0.455,1.0,0.0,0.61375
9781501156700,Atomic Habits,James Clear,Self-Help,BLIP-2,"The main colors on this book cover are red, blue, and yellow.","The cover of pet sematary is a dark, ominous image of a cat with glowing eyes and a sinister expression.","A dark, brooding atmosphere",The cover of stephen king's pet sematary,adults,"Atomic Habits by James Clear — a captivating self-help book. The cover features the cover of stephen king's pet sematary, conveying a dark, brooding atmosphere. Perfect for adults.",,0.8,0.595,1.0,0.0,0.59875
9780062316110,The Power of Habit,Charles Duhigg,Non-Fiction,BLIP-2,sappens a brief history of humankind,sappens a brief history of humankind,a brief history of humankind,,,"The Power of Habit by Charles Duhigg — a captivating non-fiction book. The cover features , conveying a brief history of humankind. Perfect for .",,0.6,0.25,0.9666666666666667,0.625,0.6104166666666666
9780062979988,Educated,Tara Westover,Memoir,BLIP-2,"The cover is black and white, with a blue sky and a white background.",Liftoff,The mood of the book is one of relaxation and calmness.,The cover of Lift Off by Eric Berger,The target audience for this book is anyone who has ever been in a space station.,"Educated by Tara Westover — a captivating memoir book. The cover features the cover of lift off by eric berger, conveying the mood of the book is one of relaxation and calmness.. Perfect for the target audience for this book is anyone who has ever been in a space station..",,0.8,0.62,1.0,0.0,0.605
9781476746586,Gone with the Wind,Margaret Mitchell,Historical,BLIP-2,all the light we cannot see,The cover of this book is a dark blue background with a white text box and a black and white image of a city in the background,"The book cover is a dark, moody cover that conveys the feeling of a dark, gloomy book.",The cover of the book is a photograph of a city with a church in the background,Person,"Gone with the Wind by Margaret Mitchell — a captivating historical book. The cover features the cover of the book is a photograph of a city with a church in the background, conveying the book cover is a dark, moody cover that conveys the feeling of a dark, gloomy book.. Perfect for person.",,0.8,0.81,1.0,0.0,0.6525000000000001
9780679642428,Ulysses,James Joyce,Modernism,BLIP-2,,,the idiot,The cover of the book the idiot,,"Ulysses by James Joyce — a captivating modernism book. The cover features the cover of the book the idiot, conveying the idiot. Perfect for .",,0.2,0.1,0.94,0.125,0.34125
9780141441146,Middlemarch,George Eliot,Classic,BLIP-2,"The main colors are red, blue, and green","The cover of charlotte bronte's jane eyre is a portrait of the author, with the title in the center of the image",A mood of melancholy and melancholy,The cover of the book is a portrait of jane eyre,The target audience for this book is the general public,"Middlemarch by George Eliot — a captivating classic book. The cover features the cover of the book is a portrait of jane eyre, conveying a mood of melancholy and melancholy. Perfect for the target audience for this book is the general public.",,1.0,0.725,1.0,0.0,0.68125
9780743477109,Romeo and Juliet,William Shakespeare,Classic Drama,BLIP-2,,The cover of the book is a photograph of a woman in a blue dress,The mood of the play is one of sadness and despair.,The cover of the book is a photograph of a woman in a blue dress,Shakespeare's audience,"Romeo and Juliet by William Shakespeare — a captivating classic drama book. The cover features the cover of the book is a photograph of a woman in a blue dress, conveying the mood of the play is one of sadness and despair.. Perfect for shakespeare's audience.",,0.8,0.5025,1.0,0.0,0.575625
9780679720201,In Search of Lost Time,Marcel Proust,Classic,BLIP-2,"blue, black, white, and red","""The Stranger""",the mood of the book is one of mystery and suspense,The cover of the book is a black and white photograph of a man in a blue suit,The target audience for this book is the general public.,"In Search of Lost Time by Marcel Proust — a captivating classic book. The cover features the cover of the book is a black and white photograph of a man in a blue suit, conveying the mood of the book is one of mystery and suspense. Perfect for the target audience for this book is the general public..",,1.0,0.5625,1.0,0.0,0.640625
9780743273565,The Great Gatsby,F. Scott Fitzgerald,Classic,LLaVA-1.5-7B,,The cover of the book is blue and features a close up of a face with a cityscape in the background.,,,,The Great Gatsby by F. Scott Fitzgerald — a compelling classic read. . Ideal for .,The cover of the book is blue and features a close up of a face with a cityscape in the background.,0.2,0.2475,0.5466666666666666,0.25,0.31104166666666666
9780061120084,To Kill a Mockingbird,Harper Lee,Classic,LLaVA-1.5-7B,,The cover of Mockingbird is a minimalist design featuring a tree with a bird perched on a branch.,,,,To Kill a Mockingbird by Harper Lee — a compelling classic read. . Ideal for .,The cover of Mockingbird is a minimalist design featuring a tree with a bird perched on a branch.,0.2,0.2425,0.52,0.75,0.428125
9780451524935,1984,George Orwell,Dystopia,LLaVA-1.5-7B,,"The cover of George Orwell's 1984 features a blue and white eye, with the number 1984 in red.",,,,1984 by George Orwell — a compelling dystopia read. . Ideal for .,"The cover of George Orwell's 1984 features a blue and white eye, with the number 1984 in red.",0.2,0.2325,0.43333333333333335,0.5,0.3414583333333333
9780316769174,The Catcher in the Rye,J.D. Salinger,Classic,LLaVA-1.5-7B,,The cover of the book is orange and features a horse and a cityscape.,,,,The Catcher in the Rye by J.D. Salinger — a compelling classic read. . Ideal for .,The cover of the book is orange and features a horse and a cityscape.,0.2,0.1725,0.5466666666666666,0.25,0.29229166666666667
9780140283334,Crime and Punishment,Fyodor Dostoevsky,Classic,LLaVA-1.5-7B,,The cover of the book Lord of the Flies is illustrated with a picture of a butterfly.,,,,Crime and Punishment by Fyodor Dostoevsky — a compelling classic read. . Ideal for .,The cover of the book Lord of the Flies is illustrated with a picture of a butterfly.,0.2,0.2125,0.56,0.25,0.30562500000000004
9780679720225,Anna Karenina,Leo Tolstoy,Classic,LLaVA-1.5-7B,,"The cover of the book is black and white, with a minimalist style. The mood is contemplative, and the atmosphere is calm. The key visual elements include a black and white photo of a book, and the tar",,,,Anna Karenina by Leo Tolstoy — a compelling classic read. . Ideal for .,"The cover of the book is black and white, with a minimalist style. The mood is contemplative, and the atmosphere is calm. The key visual elements include a black and white photo of a book, and the target audience is likely literary enthusiasts.",0.2,0.5,0.47333333333333333,0.25,0.35583333333333333
9780486282114,Moby Dick,Herman Melville,Classic,LLaVA-1.5-7B,,The cover of Mary Shelley's Frankenstein features a green and pink background with a green and pink border.,,,,Moby Dick by Herman Melville — a compelling classic read. . Ideal for .,The cover of Mary Shelley's Frankenstein features a green and pink background with a green and pink border.,0.2,0.2675,0.47333333333333333,0.5,0.36020833333333335
9780141439556,Great Expectations,Charles Dickens,Classic,LLaVA-1.5-7B,,The cover of the book is illustrated with a painting of a tree and a person.,,,,Great Expectations by Charles Dickens — a compelling classic read. . Ideal for .,The cover of the book is illustrated with a painting of a tree and a person.,0.2,0.19,0.5333333333333333,0.5,0.35583333333333333
9780374528379,Madame Bovary,Gustave Flaubert,Classic,LLaVA-1.5-7B,,The cover of the book is red and features a picture of a man.,,,,Madame Bovary by Gustave Flaubert — a compelling classic read. . Ideal for .,The cover of the book is red and features a picture of a man.,0.2,0.1525,0.5066666666666667,0.0,0.2147916666666667
9780618640157,The Lord of the Rings,J.R.R. Tolkien,Fantasy,LLaVA-1.5-7B,,The cover of the book is illustrated with a picture of a castle and a dragon.,,,,The Lord of the Rings by J.R.R. Tolkien — a compelling fantasy read. . Ideal for .,The cover of the book is illustrated with a picture of a castle and a dragon.,0.2,0.1925,0.5466666666666666,0.25,0.2972916666666667
9780439708180,Harry Potter Sorcerers Stone,J.K. Rowling,Fantasy,LLaVA-1.5-7B,,The cover of the book is illustrated and features a man flying on a broomstick.,,,,Harry Potter Sorcerers Stone by J.K. Rowling — a compelling fantasy read. . Ideal for .,The cover of the book is illustrated and features a man flying on a broomstick.,0.2,0.1975,0.58,0.25,0.306875
9780812981605,The Name of the Wind,Patrick Rothfuss,Fantasy,LLaVA-1.5-7B,,The cover of the book is yellow and features a man falling into a large wheel.,,,,The Name of the Wind by Patrick Rothfuss — a compelling fantasy read. . Ideal for .,The cover of the book is yellow and features a man falling into a large wheel.,0.2,0.195,0.5533333333333333,0.25,0.2995833333333333
9780553588484,A Game of Thrones,George R.R. Martin,Fantasy,LLaVA-1.5-7B,,The cover of the book A Game of Thrones features a gold background with a wolf illustration and the name Martin.,,,,A Game of Thrones by George R.R. Martin — a compelling fantasy read. . Ideal for .,The cover of the book A Game of Thrones features a gold background with a wolf illustration and the name Martin.,0.2,0.28,0.5466666666666666,0.25,0.31916666666666665
9780385490818,The Handmaid Tale,Margaret Atwood,Dystopia,LLaVA-1.5-7B,,The cover of the book is illustrated with a picture of a nun.,,,,The Handmaid Tale by Margaret Atwood — a compelling dystopia read. . Ideal for .,The cover of the book is illustrated with a picture of a nun.,0.2,0.1525,0.5333333333333333,0.25,0.2839583333333333
9780062409850,The Martian,Andy Weir,Sci-Fi,LLaVA-1.5-7B,,"The cover of the book Go Set a Watchman by Harper Lee features a tree and a car, with a blue background. The visual style is minimalist, and the mood is calm and contemplative. The key visual elements",,,,The Martian by Andy Weir — a compelling sci-fi read. . Ideal for .,"The cover of the book Go Set a Watchman by Harper Lee features a tree and a car, with a blue background. The visual style is minimalist, and the mood is calm and contemplative. The key visual elements include a tree, a car, and a blue background. The target audience is likely to be fans of Harper Lee or readers interested in Southern literature.",0.2,0.5,0.44,0.25,0.3475
9780385472579,Dune,Frank Herbert,Sci-Fi,LLaVA-1.5-7B,,The cover of the book is illustrated with a picture of a man holding a drum.,,,,Dune by Frank Herbert — a compelling sci-fi read. . Ideal for .,The cover of the book is illustrated with a picture of a man holding a drum.,0.2,0.19,0.42,0.25,0.265
9780441013593,Neuromancer,William Gibson,Sci-Fi,LLaVA-1.5-7B,,The cover of Frank Herbert's Dune is a minimalist design featuring a circle with a line through it.,,,,Neuromancer by William Gibson — a compelling sci-fi read. . Ideal for .,The cover of Frank Herbert's Dune is a minimalist design featuring a circle with a line through it.,0.2,0.2475,0.47333333333333333,0.75,0.41770833333333335
9780062073488,The Hunger Games,Suzanne Collins,Dystopia,LLaVA-1.5-7B,,The cover of a book featuring a house on a rock with a dark sky above.,,,,The Hunger Games by Suzanne Collins — a compelling dystopia read. . Ideal for .,The cover of a book featuring a house on a rock with a dark sky above.,0.2,0.175,0.5266666666666666,0.5,0.35041666666666665
9780062409867,Project Hail Mary,Andy Weir,Sci-Fi,LLaVA-1.5-7B,,The cover of the book is illustrated with a train on a track.,,,,Project Hail Mary by Andy Weir — a compelling sci-fi read. . Ideal for .,The cover of the book is illustrated with a train on a track.,0.2,0.1525,0.48,0.5,0.333125
9780316346627,Gone Girl,Gillian Flynn,Thriller,LLaVA-1.5-7B,,The cover of the book is illustrated with a red X and a little red line.,,,,Gone Girl by Gillian Flynn — a compelling thriller read. . Ideal for .,The cover of the book is illustrated with a red X and a little red line.,0.2,0.18,0.4666666666666667,0.5,0.33666666666666667
9780385337953,The Da Vinci Code,Dan Brown,Thriller,LLaVA-1.5-7B,,The cover of the book is blue and features a woman in a black dress.,,,,The Da Vinci Code by Dan Brown — a compelling thriller read. . Ideal for .,The cover of the book is blue and features a woman in a black dress.,0.2,0.17,0.49333333333333335,0.25,0.2783333333333333
9781250301697,The Silent Patient,Alex Michaelides,Thriller,LLaVA-1.5-7B,,The cover of the book is minimalist and features a woman with a cut out mouth.,,,,The Silent Patient by Alex Michaelides — a compelling thriller read. . Ideal for .,The cover of the book is minimalist and features a woman with a cut out mouth.,0.2,0.195,0.5466666666666666,0.25,0.29791666666666666
9780307277671,No Country for Old Men,Cormac McCarthy,Thriller,LLaVA-1.5-7B,,The cover of the book is red and features a picture of a face with letters and symbols on it.,,,,No Country for Old Men by Cormac McCarthy — a compelling thriller read. . Ideal for .,The cover of the book is red and features a picture of a face with letters and symbols on it.,0.2,0.2325,0.5666666666666667,0.0,0.24979166666666666
9780062316097,The Alchemist,Paulo Coelho,Fiction,LLaVA-1.5-7B,,"The cover of the book Sapiens: A Brief History of Humankind features a red and white color scheme, with a minimalist style. The mood is serious and informative, with a focus on the history of humankin",,,,The Alchemist by Paulo Coelho — a compelling fiction read. . Ideal for .,"The cover of the book Sapiens: A Brief History of Humankind features a red and white color scheme, with a minimalist style. The mood is serious and informative, with a focus on the history of humankind. The key visual elements include a handprint and a fingerprint, which represent the evolution of humanity. The target audience is likely to be interested in history, science, and anthropology.",0.2,0.5,0.48,0.25,0.3575
9781594631931,The Kite Runner,Khaled Hosseini,Fiction,LLaVA-1.5-7B,,"The cover of the book is minimalist, featuring a black and white image of a cityscape.",,,,The Kite Runner by Khaled Hosseini — a compelling fiction read. . Ideal for .,"The cover of the book is minimalist, featuring a black and white image of a cityscape.",0.2,0.215,0.5133333333333333,0.25,0.2945833333333333
9780735224292,Little Fires Everywhere,Celeste Ng,Fiction,LLaVA-1.5-7B,,The cover of the book is illustrated with a picture of a house and a boat.,,,,Little Fires Everywhere by Celeste Ng — a compelling fiction read. . Ideal for .,The cover of the book is illustrated with a picture of a house and a boat.,0.2,0.185,0.5333333333333333,0.25,0.29208333333333336
9780735211292,Where the Crawdads Sing,Delia Owens,Fiction,LLaVA-1.5-7B,,The cover of the book is minimalist and features a gold background with a white and black design.,,,,Where the Crawdads Sing by Delia Owens — a compelling fiction read. . Ideal for .,The cover of the book is minimalist and features a gold background with a white and black design.,0.2,0.2425,0.54,0.25,0.308125
9780525559474,Normal People,Sally Rooney,Fiction,LLaVA-1.5-7B,,"The cover of the book is illustrated with a woman walking and a clock, with the title ""The Midnight Library"" written in a large font.",,,,Normal People by Sally Rooney — a compelling fiction read. . Ideal for .,"The cover of the book is illustrated with a woman walking and a clock, with the title ""The Midnight Library"" written in a large font.",0.2,0.3325,0.48,0.5,0.378125
9780385737951,The Fault in Our Stars,John Green,Young Adult,LLaVA-1.5-7B,,The cover of the Maze Runner book is illustrated with a green forest and a tall building.,,,,The Fault in Our Stars by John Green — a compelling young adult read. . Ideal for .,The cover of the Maze Runner book is illustrated with a green forest and a tall building.,0.2,0.2225,0.5533333333333333,0.5,0.36895833333333333
9780140268867,100 Years of Solitude,G. Garcia Marquez,Fiction,LLaVA-1.5-7B,,The cover of the book is orange and features a picture of a man and a woman.,,,,100 Years of Solitude by G. Garcia Marquez — a compelling fiction read. . Ideal for .,The cover of the book is orange and features a picture of a man and a woman.,0.2,0.19,0.5666666666666667,0.0,0.23916666666666667
9780385490436,Beloved,Toni Morrison,Fiction,LLaVA-1.5-7B,,The cover of the book Genesis is orange and features a painting of a tree.,,,,Beloved by Toni Morrison — a compelling fiction read. . Ideal for .,The cover of the book Genesis is orange and features a painting of a tree.,0.2,0.185,0.44666666666666666,0.25,0.27041666666666664
